BHID,X,Y,Z,DENSITY,PGE,CU,NI,PT,PD,RH,AU
WA106D5,63266.8,-181934.97,900.84,3.9895,5.1283,0.0256,0.1205,2.9369,1.6942,0.4071,0.0901
WA107D1,63770.25,-182055.13,898.34,3.8425,4.7486,0.0156,0.113,2.5663,1.7432,0.3811,0.058
WA107D2,63770.17,-182055.13,898.12,3.9227,4.4236,0.0144,0.1107,2.6339,1.3698,0.3788,0.0412
WA107D3,63770.18,-182055.16,898.13,3.823,3.8081,0.0122,0.104,2.1238,1.3636,0.2792,0.0415
WA108D0,64010.27,-182244.33,894.12,3.9884,4.9376,0.0333,0.1503,2.8989,1.5372,0.4229,0.0787
WA108D1,64010.31,-182244.31,893.99,4.0381,6.802,0.0278,0.1444,3.9219,2.0881,0.6819,0.11
WA108D2,64010.4,-182244.31,894.03,4.0481,5.3515,0.0194,0.1254,3.1658,1.6287,0.4788,0.0781
WA109D0,64367.1,-182574.78,901.1,4.1389,6.7633,0.005,0.1567,3.7696,2.3421,0.5857,0.0657
WA109D1,64367.05,-182574.86,901.1,4.0824,5.9124,0.0049,0.1546,3.4104,1.9047,0.5471,0.0503
WA109D2,64366.98,-182574.98,900.61,4.1497,5.6005,0.0108,0.1626,3.4213,1.6086,0.5174,0.0532
WA11D0,62325.57,-181256.25,959.3,3.7753,3.9669,0.0112,0.0764,2.4115,1.2107,0.272,0.0727
WA11D1,62325.48,-181256.17,959.17,3.7883,4.2701,0.0132,0.0876,2.5957,1.2887,0.2879,0.0978
WA11D2,62325.38,-181256.08,959.5,3.6893,3.872,0.0094,0.084,2.3861,1.1703,0.2435,0.0721
WA113D0,61389.6,-181299.48,917.51,4.0781,5.7142,0.0152,0.1494,3.5913,1.5766,0.4625,0.0838
WA113D1,61389.67,-181299.59,917.67,4.1269,5.6916,0.0155,0.155,3.1567,1.9848,0.4495,0.1007
WA113D2,61389.77,-181299.78,917.59,4.1646,5.5824,0.0152,0.1503,3.2774,1.7542,0.471,0.0799
WA114D0,61084.78,-181102.95,935.1,4.1094,4.9001,0.0087,0.1183,3.3352,0.987,0.5649,0.0131
WA114D1,61084.7,-181102.89,934.98,4.1163,4.3628,0.009,0.1174,3.0287,0.8023,0.5176,0.0142
WA114D2,61084.59,-181102.78,934.84,4.0449,4.2012,0.0111,0.1159,2.9523,0.7424,0.4833,0.0232
WA115D0,62846.29,-184181.44,635.68,3.4401,2.7337,0.0108,0.0924,1.607,0.8227,0.2133,0.0907
WA115D1,62846.23,-184181.39,635.65,3.6098,2.1785,0.0073,0.085,1.4419,0.4766,0.2103,0.0496
WA115D2,62846.11,-184181.3,635.66,3.6934,2.9242,0.0077,0.0855,1.9471,0.6718,0.2517,0.0535
WA116D0,63006.54,-183711.44,698.86,3.7297,2.0893,0.0071,0.0838,1.4031,0.4196,0.2337,0.033
WA116D2,63006.33,-183711.39,698.73,3.7429,2.9398,0.0123,0.0995,1.8565,0.7684,0.2577,0.0573
WA117D0,62629.85,-183178.91,711.83,3.9042,3.4701,0.0171,0.1164,2.2799,0.8246,0.3179,0.0477
WA118D0,62402.21,-183514.63,664.6,3.6507,2.0559,0.0054,0.0828,1.6369,0.1863,0.218,0.0148
WA118D1,62402.13,-183514.56,664.75,3.6854,2.0717,0.0059,0.084,1.6578,0.1879,0.2129,0.0131
WA118D2,62402.03,-183514.45,664.66,3.7436,3.1288,0.0244,0.1325,2.0086,0.8098,0.2552,0.0553
WA118D3,62401.94,-183514.38,664.68,3.7407,3.1113,0.0086,0.0907,1.9818,0.8377,0.2465,0.0453
WA12D0,62865.07,-181173.31,1031.78,3.7803,5.0056,0.0094,0.0695,3.3009,1.2181,0.3821,0.1046
WA12D1,62864.99,-181173.23,1031.75,3.7703,5.8934,0.009,0.0696,3.8503,1.5442,0.3896,0.1094
WA12D2,62864.86,-181173.13,1031.26,3.8187,5.4055,0.0086,0.057,3.471,1.4794,0.3589,0.0962
WA120D0,61861.85,-181080.89,970.06,3.9713,6.3576,0.0094,0.1114,3.9097,1.7404,0.6852,0.0224
WA120D2,61861.6,-181080.66,969.7,3.7926,4.4369,0.0094,0.1107,2.7754,1.1788,0.4663,0.0164
WA121D0,62897.05,-182397.08,813.14,3.6069,2.3518,0.0036,0.0839,1.6397,0.4714,0.2202,0.0205
WA121D2,62896.84,-182396.89,813.11,3.7349,2.4759,0.0051,0.0881,1.6945,0.5265,0.2295,0.0254
WA121D4,62896.98,-182397.02,813.57,3.7336,2.5476,0.0044,0.0826,1.5292,0.7596,0.2318,0.0269
